ID,Strain,Diet,Sugar,Initial mass,total intake ,fat mass,N body mass,N feces mass,growth ,feces mass,,,,,,,
W11G2,WT,medprot,glucose,6.8,11.8378,.,.,0.0569,.,1.0383,,,,,,,
W11G3,WT,medprot,glucose,7.3,11.3289,0.78182,0.58112,0.05781,6.4,0.9865,,,,,,,
W11G4,WT,medprot,glucose,6.9,12.4379,2.89744,0.87825,0.05745,7.5,1.07588,,,,,,,
W11G5,WT,medprot,glucose,6.3,11.6842,1.18148,0.79194,0.05671,6.7,1.076,,,,,,,
W11G6,WT,medprot,glucose,8.2,12.9837,1.76813,0.882,0.04544,7.5,0.8509,,,,,,,
W11G7,WT,medprot,glucose,7.3,13.7999,0.97732,0.88256,0.05821,7.2222,0.99333,,,,,,,
W11G8,WT,medprot,glucose,6.4,11.7158,1.67648,0.7848,0.05004,7.2,0.9301,,,,,,,
W11G9,WT,medprot,glucose,5.9,9.9022,.,0.682,0.05601,5.5,0.993,,,,,,,
G13F1,GA,lowprot,fructose,5.2,12.8437,1.47988,0.44978,0.03247,4.8889,0.75511,,,,,,,
G13F10,GA,lowprot,fructose,7.1,11.1381,1.86385,0.44016,0.03767,5.6,0.7549,,,,,,,
G13F2,GA,lowprot,fructose,4.8,9.0113,1.38643,0.44623,0.03921,5.4286,0.858,,,,,,,
G13F3,GA,lowprot,fructose,6.1,11.2111,0.94075,0.47676,0.03215,5.8,0.7424,,,,,,,
G13F5,GA,lowprot,fructose,5.7,10.552,1.51532,0.452,0.03467,5,0.72233,,,,,,,
G13F6,GA,lowprot,fructose,5.9,11.9857,1.75367,0.5634,0.03682,6,0.7834,,,,,,,
G13F7,GA,lowprot,fructose,6.4,10.4378,.,0.42328,0.03563,5.2,0.7763,,,,,,,
G13F8,GA,lowprot,fructose,5.7,11.8825,1.1339,0.44427,0.02824,5.4444,0.64778,,,,,,,
G13F9,GA,lowprot,fructose,5.9,11.3216,1.93664,0.50874,0.03222,6.1,0.6975,,,,,,,
G13G1,GA,lowprot,glucose,6.7,5.2427,0.49284,0.3543,0.01165,3,0.2665,,,,,,,
G13G10,GA,lowprot,glucose,7.3,5.0726,0.68035,0.28373,0.01929,2.3333,0.39367,,,,,,,
G13G2,GA,lowprot,glucose,5.6,6.6507,0.75468,0.32009,0.02491,3.625,0.52438,,,,,,,
G13G3,GA,lowprot,glucose,6.3,6.2402,1.16567,0.26473,0.02707,3.6667,0.51167,,,,,,,
G13G4,GA,lowprot,glucose,6,6.9578,0.84912,0.44067,0.01209,3.7,0.2964,,,,,,,
G13G5,GA,lowprot,glucose,5.2,6.5973,0.83545,0.40788,0.01673,3.25,0.36063,,,,,,,
G13G6,GA,lowprot,glucose,6.2,6.3207,.,0.314,0.01822,3.3333,0.44122,,,,,,,
G13G7,GA,lowprot,glucose,6.4,5.3887,0.59999,0.24778,0.01513,2.75,0.37075,,,,,,,
G13G8,GA,lowprot,glucose,6.9,5.9159,0.6702,0.28215,0.01308,3.3,0.3137,,,,,,,
G13G9,GA,lowprot,glucose,5.4,4.5513,0.38031,0.31147,0.01126,2.6667,0.25244,,,,,,,
hG13F1,Hybrid,lowprot,fructose,9.5,17.1646,2.43625,0.66889,0.05617,7.7778,1.163,,,,,,,
hG13F2,Hybrid,lowprot,fructose,9,16.3994,2.1878,0.63048,0.04141,7.4,0.9041,,,,,,,
hG13F3,Hybrid,lowprot,fructose,8.4,14.8801,2.02488,0.53888,0.03718,6.4,0.8646,,,,,,,
hG13F4,Hybrid,lowprot,fructose,8.8,16.7165,2.73206,0.66424,0.04697,7.6,1.0167,,,,,,,
hG13F5,Hybrid,lowprot,fructose,8.8,16.3198,1.97057,0.60298,0.04589,7.3,0.9976,,,,,,,
hG13F6,Hybrid,lowprot,fructose,8.7,17.1672,2.21858,0.7061,0.0507,7.6667,1.12911,,,,,,,
hG13G1,Hybrid,lowprot,glucose,8.6,10.4677,1.60188,0.6511,0.0413,5.6667,0.84456,,,,,,,
hG13G2,Hybrid,lowprot,glucose,8.7,10.3756,1.43706,0.55351,0.03895,5.7778,0.86178,,,,,,,
hG13G3,Hybrid,lowprot,glucose,8.9,10.0558,1.0556,0.455,0.03823,5.5556,0.79644,,,,,,,
hG13G4,Hybrid,lowprot,glucose,8.4,12.8172,1.64266,0.49938,0.03827,6.25,0.80238,,,,,,,
hG13G5,Hybrid,lowprot,glucose,7.6,10.8534,1.74882,0.52757,0.02736,5.4444,0.63189,,,,,,,
hG13G6,Hybrid,lowprot,glucose,8.8,8.617,1.58855,0.448,0.03202,5,0.79067,,,,,,,
hW13F1,Hybrid,lowprot,fructose,8.4,18.1487,2.37256,0.6896,0.04662,8,0.95333,,,,,,,
hW13F2,Hybrid,lowprot,fructose,8.7,17.2076,2.20641,0.66889,0.04956,7.7778,1.094,,,,,,,
hW13F3,Hybrid,lowprot,fructose,7.5,15.0813,2.48213,0.59271,0.03406,6.9,0.8308,,,,,,,
hW13F4,Hybrid,lowprot,fructose,8.3,15.0081,1.77589,0.68978,0.05211,7.1111,1.02978,,,,,,,
hW13F5,Hybrid,lowprot,fructose,8.3,15.719,1.80812,0.61656,0.04519,6.8889,0.97178,,,,,,,
hW13F6,Hybrid,lowprot,fructose,8.1,17.7596,2.61151,0.62456,0.05032,7.7778,1.02689,,,,,,,
hW13G1,Hybrid,lowprot,glucose,8.5,10.0675,0.9316,0.485,0.04712,5,0.85829,,,,,,,
hW13G2,Hybrid,lowprot,glucose,8.2,10.8904,0.98511,0.56419,0.03957,6.375,0.7805,,,,,,,
hW13G3,Hybrid,lowprot,glucose,8.1,9.2227,1.75656,0.4285,0.0361,5,0.72057,,,,,,,
hW13G4,Hybrid,lowprot,glucose,8.1,11.8962,1.7488,0.5282,0.03362,6.3333,0.70622,,,,,,,
hW13G5,Hybrid,lowprot,glucose,7.9,10.2332,1.13799,0.4633,0.03576,5.125,0.71525,,,,,,,
hW13G6,Hybrid,lowprot,glucose,7.8,10.3352,1.54015,0.47203,0.04006,5.4444,0.78389,,,,,,,
W13F1,WT,lowprot,fructose,6.1,10.3813,1.20127,0.46836,0.03439,4.8889,0.73789,,,,,,,
W13F10,WT,lowprot,fructose,7.1,11.31,1.63169,0.537,0.04225,6,0.90656,,,,,,,
W13F2,WT,lowprot,fructose,6.3,10.2752,1.32237,0.46154,0.02653,4.7,0.6156,,,,,,,
W13F3,WT,lowprot,fructose,6.2,11.4352,1.43945,0.45447,0.0334,5.6667,0.76089,,,,,,,
W13F4,WT,lowprot,fructose,6.9,10.6685,1.35811,0.43578,0.03271,5.4,0.7624,,,,,,,
W13F5,WT,lowprot,fructose,7.7,13.0114,1.67006,0.51322,0.03968,6.7,0.9228,,,,,,,
W13F6,WT,lowprot,fructose,7.3,11.3573,1.49347,0.47487,0.0322,5.6667,0.74544,,,,,,,
W13F7,WT,lowprot,fructose,7.2,12.5979,1.31094,0.49561,0.04058,6.1111,0.84711,,,,,,,
W13F8,WT,lowprot,fructose,8.9,13.6514,1.80039,0.5986,0.04219,7.3,0.9015,,,,,,,
W13F9,WT,lowprot,fructose,5.9,10.4079,1.78586,0.45423,0.01657,4.9,0.3889,,,,,,,
W13G1,WT,lowprot,glucose,8.4,14.9977,2.50488,0.67032,0.04756,6.7778,1.07122,,,,,,,
W13G10,WT,lowprot,glucose,7.4,17.0985,2.48722,0.53072,0.04147,6.2,0.9256,,,,,,,
W13G2,WT,lowprot,glucose,7,13.2049,1.57035,0.5376,0.04607,6,1.0237,,,,,,,
W13G3,WT,lowprot,glucose,6.8,12.3619,1.66866,0.68628,0.03689,5.7,0.7717,,,,,,,
W13G4,WT,lowprot,glucose,6.1,12.1635,1.74285,0.51879,0.04087,6.125,0.80138,,,,,,,
W13G5,WT,lowprot,glucose,6.2,11.7655,1.71234,0.46444,0.03695,5.5556,0.90111,,,,,,,
W13G6,WT,lowprot,glucose,7.3,12.1186,1.86838,0.55854,0.03406,5.8,0.7324,,,,,,,
W13G7,WT,lowprot,glucose,6.2,12.4308,1.83949,0.50848,0.03437,5.6,0.7312,,,,,,,
W13G8,WT,lowprot,glucose,5.9,12.4829,1.76203,0.53,0.0363,6.25,0.82138,,,,,,,
G31F1,GA,highprot,fructose,7.4,12.4274,0.70039,0.96791,0.12353,6.625,1.78513,,,,,,,
G31F2,GA,highprot,fructose,6.9,11.5228,0.57723,1.0065,0.10054,6.7778,1.51878,,,,,,,
G31F3,GA,highprot,fructose,6.5,10.5027,0.57431,1.0089,0.07814,6.5556,1.204,,,,,,,
G31F4,GA,highprot,fructose,7.3,10.7984,0.26895,0.96525,0.0848,6.5,1.3766,,,,,,,
G31F5,GA,highprot,fructose,7,10.1248,0.56383,0.9636,0.08128,6.6,1.215,,,,,,,
G31F6,GA,highprot,fructose,6.8,10.9979,1.40432,0.97944,0.09499,6.6,1.3806,,,,,,,
G31F8,GA,highprot,fructose,6.6,11.3406,1.39101,0.97083,0.09064,6.3,1.3529,,,,,,,
G31F9,GA,highprot,fructose,6.4,11.0708,0.85064,1.06284,0.07737,6.8,1.1412,,,,,,,
G31G1,GA,highprot,glucose,9.6,10.0159,0.47145,0.91467,0.06259,6.2222,0.978,,,,,,,
G31G10,GA,highprot,glucose,10.3,13.6357,0.5994,1.0602,0.09362,7.125,1.38088,,,,,,,
G31G2,GA,highprot,glucose,11.5,8.6417,0.43446,0.86845,0.07808,5.5,1.05513,,,,,,,
G31G3,GA,highprot,glucose,10.9,10.9338,0.17993,1.1263,0.09603,7,1.37188,,,,,,,
G31G5,GA,highprot,glucose,10.6,10.4938,0.24846,1.10275,0.0821,6.875,1.1745,,,,,,,
G31G6,GA,highprot,glucose,10,10.2574,0.36135,1.106,0.07058,6.6667,1.04411,,,,,,,
G31G7,GA,highprot,glucose,9.8,10.6386,0.27403,1.0434,0.0832,6.7143,1.24543,,,,,,,
G31G8,GA,highprot,glucose,10.2,10.7057,.,1.15194,0.07792,7.3,1.1717,,,,,,,
G31G9,GA,highprot,glucose,9.8,9.2535,0.88441,0.87773,0.06381,5.875,0.944,,,,,,,
hG31F3,Hybrid,highprot,fructose,9.1,13.4516,1.07755,1.18811,0.0998,7.7,1.3271,,,,,,,
hG31F5,Hybrid,highprot,fructose,9,12.3613,1.11056,1.12497,0.08542,7.7,1.1575,,,,,,,
hG31G1,Hybrid,highprot,glucose,9.7,12.9729,1.26552,1.16944,0.08584,7.875,1.16313,,,,,,,
hG31G2,Hybrid,highprot,glucose,9.3,10.9715,0.8695,1.21804,0.07637,7.4,1.0115,,,,,,,
hG31G3,Hybrid,highprot,glucose,9.8,9.5812,0.49182,1.16265,0.07465,6.9,0.9645,,,,,,,
hG31G4,Hybrid,highprot,glucose,8.4,12.0008,0.8471,1.05875,0.0718,6.875,0.951,,,,,,,
hG31G5,Hybrid,highprot,glucose,8.8,8.9197,0.78241,0.99498,0.06059,6.7778,0.75833,,,,,,,
hG31G6,Hybrid,highprot,glucose,9.3,11.0261,1.07006,1.01267,0.07951,6.6667,1.07589,,,,,,,
hW31F3,Hybrid,highprot,fructose,8.5,13.5626,0.5809,1.22553,0.10112,8.1,1.334,,,,,,,
hW31F4,Hybrid,highprot,fructose,8.6,12.4736,0.79718,1.14,0.08824,7.6,1.1828,,,,,,,
hW31F5,Hybrid,highprot,fructose,8.5,14.2607,1.06414,1.28074,0.10212,8.1111,1.37444,,,,,,,
hW31F6,Hybrid,highprot,fructose,8.3,13.1895,0.86185,1.25748,0.09435,8.4,1.289,,,,,,,
hW31G1,Hybrid,highprot,glucose,8.4,9.9748,1.69218,1.0297,0.07794,7,1.0462,,,,,,,
hW31G2,Hybrid,highprot,glucose,8.9,11.4443,0.81853,1.12709,0.0776,7.4444,1.04444,,,,,,,
hW31G3,Hybrid,highprot,glucose,8.7,10.3309,0.49658,1.09707,0.06477,7.3333,0.867,,,,,,,
hW31G4,Hybrid,highprot,glucose,9.1,11.8679,0.4111,1.0605,0.07542,7,1.01513,,,,,,,
hW31G5,Hybrid,highprot,glucose,9.6,10.8023,0.43554,1.15,0.07744,7.6667,1.04367,,,,,,,
hW31G6,Hybrid,highprot,glucose,9.3,11.3976,0.75131,1.10391,0.09271,7.7143,1.26657,,,,,,,
W31F1,WT,highprot,fructose,8,11.564,1.54954,1.0419,0.06577,6.9,1.0309,,,,,,,
W31F10,WT,highprot,fructose,7.4,10.7148,0.60167,0.9828,0.06701,6.5,1.1358,,,,,,,
W31F2,WT,highprot,fructose,7.9,12.5072,2.63422,1.15017,0.06639,7.4444,1.07778,,,,,,,
W31F3,WT,highprot,fructose,8.6,12.2577,0.99098,1.0658,0.06397,7.3,1.0027,,,,,,,
W31F4,WT,highprot,fructose,8.7,11.4745,0.56864,1.06667,0.06743,7.1111,1.17478,,,,,,,
W31F5,WT,highprot,fructose,8.9,13.1645,0.95787,1.25631,0.07456,8.1,1.2574,,,,,,,
W31F6,WT,highprot,fructose,8.4,11.0143,0.90736,1.08144,0.08271,7.2,1.3449,,,,,,,
W31F7,WT,highprot,fructose,8.4,11.8364,0.675,1.03392,0.06083,7.2,1.0805,,,,,,,
W31F8,WT,highprot,fructose,8.9,12.1492,1.19039,1.0155,0.08292,7.5,1.4755,,,,,,,
W31F9,WT,highprot,fructose,7.6,10.6816,0.75424,1.06433,0.06727,6.8889,1.09556,,,,,,,
W31G1,WT,highprot,glucose,7.8,11.8258,0.15418,1.07768,0.09434,7.6,1.5516,,,,,,,
W31G10,WT,highprot,glucose,12.2,19.8738,.,1.79284,0.10526,11.8889,1.59733,,,,,,,
W31G2,WT,highprot,glucose,11.1,17.1104,2.93856,1.6775,0.09999,11,1.605,,,,,,,
W31G3,WT,highprot,glucose,7.7,12.4201,0.89285,1.17693,0.08196,8.1,1.3729,,,,,,,
W31G4,WT,highprot,glucose,7.2,11.1355,0.7023,1.0794,0.07504,7,1.2064,,,,,,,
W31G5,WT,highprot,glucose,10.1,16.8364,1.12667,1.64352,0.11871,10.7,1.8235,,,,,,,
W31G6,WT,highprot,glucose,11.4,19.5499,1.76289,1.77023,0.12475,12.1,1.9677,,,,,,,
W31G7,WT,highprot,glucose,7.6,12.098,1.20711,1.07894,0.08031,7.3,1.2205,,,,,,,
W31G8,WT,highprot,glucose,7.9,11.6566,1.17413,1.0668,0.08047,7,1.33,,,,,,,
W31G9,WT,highprot,glucose,9.7,19.814,1.61662,1.5134,0.1272,10.4444,1.84622,,,,,,,
